"","Resource_Code","Resource_Name"
"602",410210049,"Common Goldeneye - Season Unknown"
"603",410212000,"Harlequin"
"604",410212001,"Harlequin - Spring"
"605",410212002,"Harlequin - Summer"
"606",410212003,"Harlequin - Fall"
"607",410212004,"Harlequin - Winter"
"608",410212009,"Harlequin - Season Unknown"
"609",410214009,"Mallard - Season Unknown"
"610",410218009,"Long-tailed Duck (Oldsquaw) - Season Unknown"
"611",410220009,"Northern Pintail - Season Unknown"
"612",410226009,"Scaup - Season Unknown"
"613",410226040,"Lesser Scaup"
"614",410226041,"Lesser Scaup - Spring"
"615",410226042,"Lesser Scaup - Summer"
"616",410226043,"Lesser Scaup - Fall"
"617",410226044,"Lesser Scaup - Winter"
"618",410226049,"Lesser Scaup - Season Unknown"
"619",410226990,"Unknown Scaup"
"620",410226991,"Unknown Scaup - Spring"
"621",410226992,"Unknown Scaup - Summer"
"622",410226993,"Unknown Scaup - Fall"
"623",410226994,"Unknown Scaup - Winter"
"624",410226999,"Unknown Scaup - Season Unknown"
"625",410232009,"Teal - Season Unknown"
"626",410232060,"Green-Winged Teal"
"627",410232061,"Green-Winged Teal - Spring"
"628",410232062,"Green-Winged Teal - Summer"
"629",410232063,"Green-Winged Teal - Fall"
"630",410232064,"Green-Winged Teal - Winter"
"631",410232069,"Green-Winged Teal - Season Unknown"
"632",410236009,"Wigeon - Season Unknown"
"633",410236020,"American Wigeon"
"634",410236021,"American Wigeon - Spring"
"635",410236022,"American Wigeon - Summer"
"636",410236023,"American Wigeon - Fall"
"637",410236024,"American Wigeon - Winter"
"638",410236029,"American Wigeon - Season Unknown"
"639",410236990,"Unknown Wigeon"
"640",410236991,"Unknown Wigeon - Spring"
"641",410236992,"Unknown Wigeon - Summer"
"642",410236993,"Unknown Wigeon - Fall"
"643",410236994,"Unknown Wigeon - Winter"
"644",410236999,"Unknown Wigeon - Season Unknown"
"645",410400001,"Geese - Spring"
"646",410400002,"Geese - Summer"
"647",410400003,"Geese - Fall"
"648",410400004,"Geese - Winter"
"649",410400009,"Geese - Season Unknown"
"650",410404001,"Canada Geese  - Spring"
"651",410404002,"Canada Geese  - Summer"
"652",410404003,"Canada Geese  - Fall"
"653",410404004,"Canada Geese  - Winter"
"654",410404009,"Canada Geese  - Season Unknown"
"655",410404100,"Vancouver Canada Geese"
"656",410404101,"Vancouver Canada Geese - Spring"
"657",410404102,"Vancouver Canada Geese - Summer"
"658",410404103,"Vancouver Canada Geese - Fall"
"659",410404104,"Vancouver Canada Geese - Winter"
"660",410404109,"Vancouver Canada Geese - Season Unknown"
"661",410408000,"Snow Geese"
"662",410408001,"Snow Geese - Spring"
"663",410408002,"Snow Geese - Summer"
"664",410408003,"Snow Geese - Fall"
"665",410408004,"Snow Geese - Winter"
"666",410408009,"Snow Geese - Season Unknown"
"667",410410009,"White-fronted Geese - Season Unknown"
"668",410600001,"Swan - Spring"
"669",410600002,"Swan - Summer"
"670",410600003,"Swan - Fall"
"671",410600004,"Swan - Winter"
"672",410600009,"Swan - Season Unknown"
"673",410604000,"Tundra Swan (whistling)"
"674",410604001,"Tundra Swan (whistling)- Spring"
"675",410604002,"Tundra Swan (whistling)- Summer"
"676",410604003,"Tundra Swan (whistling)- Fall"
"677",410604004,"Tundra Swan (whistling)- Winter"
"678",410604009,"Tundra Swan (whistling)- Season Unknown"
"679",410699009,"Unknown Swan - Season Unknown"
"680",410800001,"Crane - Spring"
"681",410800002,"Crane - Summer"
"682",410800003,"Crane - Fall"
"683",410800004,"Crane - Winter"
"684",410800009,"Crane - Season Unknown"
"685",410802009,"Sandhill Crane - Season Unknown"
"686",411000001,"Shorebirds - Spring"
"687",411000002,"Shorebirds - Summer"
"688",411000003,"Shorebirds - Fall"
"689",411000004,"Shorebirds - Winter"
"690",411000009,"Shorebirds - Season Unknown"
"691",411002000,"Wilson's Snipe"
"692",411002001,"Wilson's Snipe - Spring"
"693",411002002,"Wilson's Snipe - Summer"
"694",411002003,"Wilson's Snipe - Fall"
"695",411002004,"Wilson's Snipe - Winter"
"696",411002009,"Wilson's Snipe - Season Unknown"
"697",411200001,"Seabirds & Loons - Spring"
"698",411200002,"Seabirds & Loons - Summer"
"699",411200003,"Seabirds & Loons - Fall"
"700",411200004,"Seabirds & Loons - Winter"
"701",411200009,"Seabirds & Loons - Season Unknown"
"702",411208000,"Grebe"
"703",411208001,"Grebe - Spring"
"704",411208002,"Grebe - Summer"
"705",411208003,"Grebe - Fall"
"706",411208004,"Grebe - Winter"
"707",411208009,"Grebe - Season Unknown"
"708",411208020,"Horned Grebe"
"709",411208021,"Horned Grebe - Spring"
"710",411208022,"Horned Grebe - Summer"
"711",411208023,"Horned Grebe - Fall"
"712",411208024,"Horned Grebe - Winter"
"713",411208029,"Horned Grebe - Season Unknown"
"714",411208040,"Red Necked Grebe"
"715",411208041,"Red Necked Grebe - Spring"
"716",411208042,"Red Necked Grebe - Summer"
"717",411208043,"Red Necked Grebe - Fall"
"718",411208044,"Red Necked Grebe - Winter"
"719",411208049,"Red Necked Grebe - Season Unknown"
"720",411208990,"Unknown Grebe"
"721",411208991,"Unknown Grebe - Spring"
"722",411208992,"Unknown Grebe - Summer"
"723",411208993,"Unknown Grebe - Fall"
"724",411208994,"Unknown Grebe - Winter"
"725",411208999,"Unknown Grebe - Season Unknown"
"726",411299009,"Unknown Seabirds - Season Unknown"
"727",420000001,"Other Birds - Spring"
"728",420000002,"Other Birds - Summer"
"729",420000003,"Other Birds - Fall"
"730",420000004,"Other Birds - Winter"
"731",420000009,"Other Birds - Season Unknown"
"732",421800001,"Upland Game Birds - Spring"
"733",421800002,"Upland Game Birds - Summer"
"734",421800003,"Upland Game Birds - Fall"
"735",421800004,"Upland Game Birds - Winter"
"736",421800009,"Upland Game Birds - Season Unknown"
"737",421802009,"Grouse - Season Unknown"
"738",421804009,"Ptarmigan - Season Unknown"
"739",421804020,"Rock Ptarmigan"
"740",421804021,"Rock Ptarmigan - Spring"
"741",421804022,"Rock Ptarmigan - Summer"
"742",421804023,"Rock Ptarmigan - Fall"
"743",421804024,"Rock Ptarmigan - Winter"
"744",421804029,"Rock Ptarmigan - Season Unknown"
"745",421804040,"Willow Ptarmigan"
"746",421804041,"Willow Ptarmigan - Spring"
"747",421804042,"Willow Ptarmigan - Summer"
"748",421804043,"Willow Ptarmigan - Fall"
"749",421804044,"Willow Ptarmigan - Winter"
"750",421804049,"Willow Ptarmigan - Season Unknown"
"751",421804990,"Unknown Ptarmigan"
"752",421804991,"Unknown Ptarmigan - Spring"
"753",421804992,"Unknown Ptarmigan - Summer"
"754",421804993,"Unknown Ptarmigan - Fall"
"755",421804994,"Unknown Ptarmigan - Winter"
"756",421804999,"Unknown Ptarmigan - Season Unknown"
"757",421899000,"Unknown Upland Game Birds"
"758",421899001,"Unknown Upland Game Birds - Spring"
"759",421899002,"Unknown Upland Game Birds - Summer"
"760",421899003,"Unknown Upland Game Birds - Fall"
"761",421899004,"Unknown Upland Game Birds - Winter"
"762",421899009,"Unknown Upland Game Birds - Season Unknown"
"763",431210000,"Guillemots Eggs"
"764",431218000,"Murre Eggs"
"765",431218020,"Common Murre Eggs"
"766",439900000,"Unknown Eggs"
"767",500000001,"Marine Invertebrates [CF Retention]"
"768",500000002,"Marine Invertebrates [Non Commercial Gear]"
"769",500200002,"Abalone [Non Commercial Gear]"
"770",500400002,"Chitons (bidarkis, gumboots) [Non Commercial Gear]"
"771",500404002,"Red (large) Chitons [Non Commercial Gear]"
"772",500408002,"Black (small) Chitons [Non Commercial Gear]"
"773",500499000,"Unknown Chitons"
"774",500499002,"Unknown Chitons [Non Commercial Gear]"
"775",500600001,"Clams [CF Retention]"
"776",500600002,"Clams [Non Commercial Gear]"
"777",500602002,"Butter Clams [Non Commercial Gear]"
"778",500606002,"Horse Clams (Gaper) [Non Commercial Gear]"
"779",500608001,"Pacific Littleneck Clams (Steamers) [CF Retention]"
"780",500608002,"Pacific Littleneck Clams (Steamers) [Non Commercial Gear]"
"781",500612002,"Razor Clams [Non Commercial Gear]"
"782",500699002,"Unknown Clams [Non Commercial Gear]"
"783",500800002,"Cockles [Non Commercial Gear]"
"784",500802002,"Basket Cockles [Non Commercial Gear]"
"785",500804002,"Heart Cockles [Non Commercial Gear]"
"786",500899002,"Unknown Cockles [Non Commercial Gear]"
"787",501000001,"Crabs [CF Retention]"
"788",501000002,"Crabs [Non Commercial Gear]"
"789",501002000,"Box Crab"
"790",501002002,"Box Crab [Non Commercial Gear]"
"791",501004002,"Dungeness Crab [Non Commercial Gear]"
"792",501008001,"King Crab [CF Retention]"
"793",501008002,"King Crab [Non Commercial Gear]"
"794",501008022,"Blue King Crab [Non Commercial Gear]"
"795",501008042,"Brown King Crab [Non Commercial Gear]"
"796",501008082,"Red King Crab [Non Commercial Gear]"
"797",501008990,"Unknown King Crab"
"798",501008991,"Unknown King Crab [CF Retention]"
"799",501008992,"Unknown King Crab [Non Commercial Gear]"
"800",501012002,"Tanner Crab [Non Commercial Gear]"
"801",501012020,"Tanner Crab, Bairdi"
"802",501012021,"Tanner Crab, Bairdi [CF Retention]"
"803",501012022,"Tanner Crab, Bairdi [Non Commercial Gear]"
"804",501099000,"Unknown Crab"
"805",501099002,"Unknown Crab [Non Commercial Gear]"
"806",501200002,"Geoducks [Non Commercial Gear]"
"807",501800002,"Limpets [Non Commercial Gear]"
"808",502000002,"Mussels [Non Commercial Gear]"
"809",502099000,"Unknown Mussels"
"810",502099002,"Unknown Mussels [Non Commercial Gear]"
"811",502200002,"Octopus [Non Commercial Gear]"
"812",502400000,"Oyster"
"813",502400001,"Oyster [CF Retention]"
"814",502600001,"Scallops [CF Retention]"
"815",502600002,"Scallops [Non Commercial Gear]"
"816",502602002,"Weathervane Scallops [Non Commercial Gear]"
"817",502604001,"Rock Scallops [CF Retention]"
"818",502604002,"Rock Scallops [Non Commercial Gear]"
"819",502699000,"Unknown Scallops"
"820",502699001,"Unknown Scallops [CF Retention]"
"821",502699002,"Unknown Scallops [Non Commercial Gear]"
"822",503000002,"Sea Cucumber [Non Commercial Gear]"
"823",503004000,"Yein Sea Cucumber"
"824",503004001,"Yein Sea Cucumber [CF Retention]"
"825",503004002,"Yein Sea Cucumber [Non Commercial Gear]"
"826",503099000,"Unknown Sea Cucumber"
"827",503099001,"Unknown Sea Cucumber [CF Retention]"
"828",503099002,"Unknown Sea Cucumber [Non Commercial Gear]"
"829",503200002,"Sea Urchin [Non Commercial Gear]"
"830",503202002,"Green Sea Urchin [Non Commercial Gear]"
"831",503204002,"Red Sea Urchin [Non Commercial Gear]"
"832",503206002,"Purple Sea Urchins [Non Commercial Gear]"
"833",503299000,"Unknown Sea Urchin"
"834",503299002,"Unknown Sea Urchin [Non Commercial Gear]"
"835",503400002,"Shrimp [Non Commercial Gear]"
"836",503800002,"Squid [Non Commercial Gear]"
"837",600000002,"Vegetation [Non Commercial]"
"838",603000002,"Seaweed/Kelp [Non Commercial]"
"839",603002002,"Black Seaweed [Non Commercial]"
"840",603004002,"Bull Kelp [Non Commercial]"
"841",603006002,"Red Seaweed [Non Commercial]"
"842",603008002,"Sea Ribbons [Non Commercial]"
"843",603010002,"Giant Kelp (Macrocystis) [Non Commercial]"
"844",603012002,"Alaria [Non Commercial]"
"845",603099002,"Unknown Seaweed [Non Commercial]"
"846",604000002,"Wood [Non Commercial]"
"847",120600000,"Bass"
"848",120600002,"Bass [Rod and Reel]"
"849",120600003,"Bass [Other Gear]"
"850",120602000,"Sea Bass"
"851",120602002,"Sea Bass [Rod and Reel]"
"852",120602003,"Sea Bass [Other Gear]"
"853",120699000,"Unknown Bass"
"854",120699002,"Unknown Bass [Rod and Reel]"
"855",120699003,"Unknown Bass [Other Gear]"
"856",121604000,"Kelp Greenling"
"857",121604002,"Kelp Greenling [Rod and Reel]"
"858",121604003,"Kelp Greenling [Other Gear]"
"859",410208000,"Gadwall"
"860",410208001,"Gadwall - Spring"
"861",410208002,"Gadwall - Summer"
"862",410208003,"Gadwall - Fall"
"863",410208004,"Gadwall - Winter"
"864",410208009,"Gadwall - Season Unknown"
"865",410210990,"Unknown Goldeneye"
"866",410210991,"Unknown Goldeneye - Spring"
"867",410210992,"Unknown Goldeneye - Summer"
"868",410210993,"Unknown Goldeneye - Fall"
"869",410210994,"Unknown Goldeneye - Winter"
"870",410210999,"Unknown Goldeneye - Season Unknown"
"871",410216000,"Merganser"
"872",410216001,"Merganser - Spring"
"873",410216002,"Merganser - Summer"
"874",410216003,"Merganser - Fall"
"875",410216004,"Merganser - Winter"
"876",410216009,"Merganser - Season Unknown"
"877",410216020,"Common Merganser"
"878",410216021,"Common Merganser - Spring"
"879",410216022,"Common Merganser - Summer"
"880",410216023,"Common Merganser - Fall"
"881",410216024,"Common Merganser - Winter"
"882",410216029,"Common Merganser - Season Unknown"
"883",410216040,"Red-Breasted Merganser"
"884",410216041,"Red-Breasted Merganser - Spring"
"885",410216042,"Red-Breasted Merganser - Summer"
"886",410216043,"Red-Breasted Merganser - Fall"
"887",410216044,"Red-Breasted Merganser - Winter"
"888",410216049,"Red-Breasted Merganser - Season Unknown"
"889",410216990,"Unknown Merganser"
"890",410216991,"Unknown Merganser - Spring"
"891",410216992,"Unknown Merganser - Summer"
"892",410216993,"Unknown Merganser - Fall"
"893",410216994,"Unknown Merganser - Winter"
"894",410216999,"Unknown Merganser - Season Unknown"
"895",410226020,"Greater Scaup"
"896",410226021,"Greater Scaup - Spring"
"897",410226022,"Greater Scaup - Summer"
"898",410226023,"Greater Scaup - Fall"
"899",410226024,"Greater Scaup - Winter"
"900",410226029,"Greater Scaup - Season Unknown"
"901",410228000,"Scoter"
"902",410228001,"Scoter - Spring"
"903",410228002,"Scoter - Summer"
"904",410228003,"Scoter - Fall"
"905",410228004,"Scoter - Winter"
"906",410228009,"Scoter - Season Unknown"
"907",410228040,"Surf Scoter"
"908",410228041,"Surf Scoter - Spring"
"909",410228042,"Surf Scoter - Summer"
"910",410228043,"Surf Scoter - Fall"
"911",410228044,"Surf Scoter - Winter"
"912",410228049,"Surf Scoter - Season Unknown"
"913",410228060,"White-winged Scoter"
"914",410228061,"White-winged Scoter - Spring"
"915",410228062,"White-winged Scoter - Summer"
"916",410228063,"White-winged Scoter - Fall"
"917",410228064,"White-winged Scoter - Winter"
"918",410228069,"White-winged Scoter - Season Unknown"
"919",410228990,"Unknown Scoter"
"920",410228991,"Unknown Scoter - Spring"
"921",410228992,"Unknown Scoter - Summer"
"922",410228993,"Unknown Scoter - Fall"
"923",410228994,"Unknown Scoter - Winter"
"924",410228999,"Unknown Scoter - Season Unknown"
"925",410232990,"Unknown Teal"
"926",410232991,"Unknown Teal - Spring"
"927",410232992,"Unknown Teal - Summer"
"928",410232993,"Unknown Teal - Fall"
"929",410232994,"Unknown Teal - Winter"
"930",410232999,"Unknown Teal - Season Unknown"
"931",410299009,"Unknown Ducks - Season Unknown"
"932",410402000,"Brant"
"933",410402001,"Brant - Spring"
"934",410402002,"Brant - Summer"
"935",410402003,"Brant - Fall"
"936",410402004,"Brant - Winter"
"937",410402009,"Brant - Season Unknown"
"938",410404999,"Unknown Canada Geese - Season Unknown"
"939",410499009,"Unknown Geese - Season Unknown"
"940",411222000,"Puffins"
"941",411222001,"Puffins - Spring"
"942",411222002,"Puffins - Summer"
"943",411222003,"Puffins - Fall"
"944",411222004,"Puffins - Winter"
"945",411222009,"Puffins - Season Unknown"
"946",431212990,"Unknown Gull Eggs"
"947",503200001,"Sea Urchin [CF Retention]"
"948",503299001,"Unknown Sea Urchin [CF Retention]"
"949",503700000,"Starfish"
"950",503700002,"Starfish [Non Commercial Gear]"
"951",129900000,"Unknown Non-Salmon Fish"
"952",129900001,"Unknown Non-Salmon [CF Retention]"
"953",129900002,"Unknown Non-Salmon [Rod and Reel]"
"954",129900003,"Unknown Non-Salmon [Other Gear]"
"955",309900000,"Unknown Marine Mammals"
"956",500200001,"Abalone [CF Retention]"
"957",500400001,"Chitons (bidarkis, gumboots) [CF Retention]"
"958",509900000,"Unknown Marine Invertebrates"
"959",509900001,"Unknown Marine Invertebrates [CF Retention]"
"960",509900002,"Unknown Marine Invertebrates [Non Commercial Gear]"
"961",120402000,"Capelin (grunion)"
"962",120402002,"Capelin (grunion) [Rod and Reel]"
"963",120402003,"Capelin (grunion) [Other Gear]"
"964",123204000,"Salmon Shark"
"965",123204002,"Salmon Shark [Rod and Reel]"
"966",123204003,"Salmon Shark [Other Gear]"
"967",221099000,"Unknown Hare"
"968",222899000,"Unknown Squirrel"
"969",411204000,"Cormorants"
"970",411222990,"Unknown Puffin"
"971",501012990,"Unknown Tanner Crab"
"972",501012992,"Unknown Tanner Crab [Non Commercial Gear]"
"973",502002000,"Blue Mussels"
"974",502002002,"Blue Mussels [Non Commercial Gear]"
"975",123004000,"Bullhead Sculpin"
"976",123004001,"Bullhead Sculpin [CF Retention]"
"977",125002000,"Arctic Char"
"978",125002002,"Arctic Char [Rod and Reel]"
"979",125002003,"Arctic Char [Other Gear]"
"980",126400000,"Whitefish"
"981",126400002,"Whitefish [Rod and Reel]"
"982",126400003,"Whitefish [Other Gear]"
"983",210400000,"Bison"
"984",300899000,"Unknown Seal"
"985",410204000,"Canvasback"
"986",410204001,"Canvasback - Spring"
"987",410204002,"Canvasback - Summer"
"988",410204003,"Canvasback - Fall"
"989",410204004,"Canvasback - Winter"
"990",601007000,"Crowberry"
"991",602010000,"Other Beach Greens"
"992",602027000,"Dandilion Greens"
"993",602037000,"Yarrow"
"994",602041000,"Sorrel"
"995",602042000,"Fireweed"
"996",602043000,"Plantain"
"997",603014000,"Red Laver (Dulse)"
"998",603016000,"Bladder Wrack"
"999",604005000,"Spruce Pitch"
"1000",122612001,"Quillback Rockfish [CF Retention]"
"1001",122614000,"Brown Rockfish"
"1002",122614001,"Brown Rockfish [CF Retention]"
"1003",122614002,"Brown Rockfish [Rod and Reel]"
"1004",122614003,"Brown Rockfish [Other Gear]"
"1005",219900000,"Unknown Large Land Mammal"
"1006",500610000,"Pinkneck Clams"
"1007",601030000,"Blackberry"
"1008",601099000,"Other Wild Berry"
"1009",604008000,"Spruce"
"1010",604010000,"Cottonwood"
"1011",1.18e+08,"Salmon Roe"
"1012",118000002,"Salmon Roe [Rod and Reel]"
"1013",118000003,"Salmon Roe [Other Gear]"
"1014",120304002,"Herring Sac Roe [Rod and Reel]"
"1015",120304003,"Herring Sac Roe [Other Gear]"
"1016",121200000,"Eel"
"1017",121200002,"Eel [Rod and Reel]"
"1018",121200003,"Eel [Other Gear]"
"1019",122634000,"China Rockfish"
"1020",122634002,"China Rockfish [Rod and Reel]"
"1021",122634003,"China Rockfish [Other Gear]"
"1022",125006990,"Dolly Varden-unknown"
"1023",125006992,"Dolly Varden-unknown [Rod and Reel]"
"1024",125006993,"Dolly Varden-unknown [Other Gear]"
"1025",126499000,"Unknown Whitefish"
"1026",126499002,"Unknown Whitefish [Rod and Reel]"
"1027",126499003,"Unknown Whitefish [Other Gear]"
"1028",200000001,NA
"1029",200000002,NA
"1030",200000009,NA
"1031",210000001,"Large Land Mammals, Male"
"1032",210000002,"Large Land Mammals, Female"
"1033",210000009,"Large Land Mammals, Sex Unknown"
"1034",220000009,NA
"1035",220200009,NA
"1036",220400009,NA
"1037",220800009,NA
"1038",220804009,NA
"1039",221000009,NA
"1040",221004009,NA
"1041",221200009,NA
"1042",221600009,NA
"1043",221800009,NA
"1044",222000009,NA
"1045",222200009,NA
"1046",222400009,NA
"1047",222600009,NA
"1048",222800009,NA
"1049",222804009,NA
"1050",223000009,NA
"1051",223200009,NA
"1052",223400009,NA
"1053",400000001,NA
"1054",400000002,NA
"1055",400000003,NA
"1056",400000004,NA
"1057",400000009,NA
"1058",421802020,"Spruce Grouse"
"1059",421802021,"Spruce Grouse - Spring"
"1060",421802022,"Spruce Grouse - Summer"
"1061",421802023,"Spruce Grouse - Fall"
"1062",421802024,"Spruce Grouse - Winter"
"1063",421802029,"Spruce Grouse - Season Unknown"
"1064",421802060,"Ruffed Grouse"
"1065",421802061,"Ruffed Grouse - Spring"
"1066",421802062,"Ruffed Grouse - Summer"
"1067",421802063,"Ruffed Grouse - Fall"
"1068",421802064,"Ruffed Grouse - Winter"
"1069",421802069,"Ruffed Grouse - Season Unknown"
"1070",421802990,"Unknown Grouse"
"1071",421802991,"Unknown Grouse - Spring"
"1072",421802992,"Unknown Grouse - Summer"
"1073",421802993,"Unknown Grouse - Fall"
"1074",421802994,"Unknown Grouse - Winter"
"1075",421802999,"Unknown Grouse - Season Unknown"
"1076",601034000,"Serviceberry"
"1077",602008000,"Wild Sweet Potato"
"1078",604002000,"Bark"
"1079",604004000,"Roots"
"1080",1.16e+08,"Landlocked Salmon"
"1081",410222000,"Redhead Duck"
"1082",122616000,"Dusky Rockfish"
"1083",122616001,"Dusky Rockfish [CF Retention]"
"1084",122616002,"Dusky Rockfish [Rod and Reel]"
"1085",122616003,"Dusky Rockfish [Other Gear]"
"1086",122618000,"Copper Rockfish"
"1087",122618002,"Copper Rockfish [Rod and Reel]"
"1088",122618003,"Copper Rockfish [Other Gear]"
"1089",300899009,"Unknown Seal, Unknown Sex"
"1090",301600000,"Whale"
"1091",301600009,"Whale, Unknown Sex"
"1092",301699000,"Unknown Whale"
"1093",301699009,"Unknown Whale, Unknown Sex"
"1094",309900009,"Unknown Marine Mammals, Unknown Sex"
"1095",410404080,"Lesser Canada Geese (taverner/parvipes)"
"1096",410404081,"Lesser Canada Geese (taverner/parvipes) - Spring"
"1097",410404082,"Lesser Canada Geese (taverner/parvipes) - Summer"
"1098",410404083,"Lesser Canada Geese (taverner/parvipes) - Fall"
"1099",410404084,"Lesser Canada Geese (taverner/parvipes) - Winter"
"1100",410404089,"Lesser Canada Geese (taverner/parvipes) - Season Unknown"
"1101",411004009,"Black Oystercatcher - Season Unknown"
"1102",411099001,"Unknown Shorebirds - Spring"
"1103",411099002,"Unknown Shorebirds - Summer"
"1104",411099003,"Unknown Shorebirds - Fall"
"1105",411099004,"Unknown Shorebirds - Winter"
"1106",411099009,"Unknown Shorebirds - Season Unknown"
"1107",411099019,NA
"1108",411099029,NA
"1109",411210000,"Guillemots"
"1110",411210001,"Guillemots - Spring"
"1111",411210002,"Guillemots - Summer"
"1112",411210003,"Guillemots - Fall"
"1113",411210004,"Guillemots - Winter"
"1114",411210009,"Guillemots - Season Unknown"
"1115",411216001,"Loons - Spring"
"1116",411216002,"Loons - Summer"
"1117",411216003,"Loons - Fall"
"1118",411216004,"Loons - Winter"
"1119",411216009,"Loons - Season Unknown"
"1120",411216999,"Unknown Loon - Season Unknown"
"1121",430404080,"Lesser Canada Geese Eggs"
"1122",502400002,"Oyster [Non Commercial Gear]"
"1123",602044000,"Stinkweed"
"1124",602048000,"Unknown Greens From Land"
"1125",121699000,"Unknown Greenling"
"1126",121699002,"Unknown Greenling [Rod and Reel]"
"1127",121699003,"Unknown Greenling [Other Gear]"
"1128",222806000,"Flying Squirrel"
"1129",125006991,"Dolly Varden-unknown [CF Retention]"
"1130",210400009,"Bison, Sex Unknown"
"1131",300888000,"Unknown Seal Oil"
"1132",300888009,"Unknown Seal Oil, Unknown Sex"
"1133",410204009,"Canvasback - Season Unknown"
"1134",410404060,"Dusky Canada Geese"
"1135",410404061,"Dusky Canada Geese - Spring"
"1136",410404062,"Dusky Canada Geese - Summer"
"1137",410404063,"Dusky Canada Geese - Fall"
"1138",410404064,"Dusky Canada Geese - Winter"
"1139",410404069,"Dusky Canada Geese - Season Unknown"
"1140",428800000,"Unknown Other Birds"
"1141",428800001,"Unknown Other Birds - Spring"
"1142",428800002,"Unknown Other Birds - Summer"
"1143",428800003,"Unknown Other Birds - Fall"
"1144",428800004,"Unknown Other Birds - Winter"
"1145",428800009,"Unknown Other Birds - Season Unknown"
"1146",430899000,"Unknown Crane Eggs"
"1147",601031000,"Dogwood Berry"
"1148",602046000,"Fungus"
"1149",602046040,"Chaga"
"1150",602052000,"Wild Chives"
"1151",604013000,"Willow"
