"","Project_Name","Site_Year_Code","Site","Year","Habitat","Taxa_lvl1","Taxa_lvl2","Taxa_lvl3","Taxa_lvl4","Taxa_lvl5","Resource_Code","Resource_Name","Percent_Using","Percent_Attempting_to_Harvest","Percent_Harvesting","Percent_Receiving","Percent_Giving","Reported_Pounds_Harvested","Estimated_Total_Pounds_Harvested","Lower_Pounds_Harvested","Upper_Pounds_Harvested","Mean_Pounds_Per_Household","Percapita_Pounds_Harvested","Conversion_Units_To_Pounds","Resource_Harvest_Units","Number_Of_Resource_Harvested","Estimated_Amount_Harvested","Mean_Grams_Per_Capita_Use","Mean_Pounds_Per_Capita_Use","Mean_Grams_Percapita_Harvest"
"75","Marine Mammals 2006","Haines_2006","Haines","2006","Marine","Marine Mammals","Marine Mammals","Stellar Sea Lion","Stellar Sea Lion","Stellar Sea Lion","301200000","Steller Sea Lion",NA,NA,NA,NA,NA,0,0,0,0,NA,NA,200,"Ind.",0,0,NA,NA,NA
"76","Marine Mammals 2007","Haines_2007","Haines","2007","Marine","Marine Mammals","Marine Mammals","Stellar Sea Lion","Stellar Sea Lion","Stellar Sea Lion","301200000","Steller Sea Lion",NA,NA,NA,NA,NA,0,0,0,0,NA,NA,200,"Ind.",0,0,NA,NA,NA
"77","Marine Mammals 2008","Haines_2008","Haines","2008","Marine","Marine Mammals","Marine Mammals","Stellar Sea Lion","Stellar Sea Lion","Stellar Sea Lion","301200000","Steller Sea Lion",NA,NA,NA,NA,NA,0,0,0,0,NA,NA,200,"Ind.",0,0,NA,NA,NA
"78","Marine Mammals 1995","Hoonah_1995","Hoonah","1995","Marine","Marine Mammals","Marine Mammals","Seal","Seal","Harbor Seal","300806000","Harbor Seal",NA,NA,NA,NA,NA,18357.5,20106,17426,22786,NA,NA,56,"Ind.",216,237,NA,NA,NA
"79","Marine Mammals 1996","Hoonah_1996","Hoonah","1996","Marine","Marine Mammals","Marine Mammals","Seal","Seal","Harbor Seal","300806000","Harbor Seal",NA,NA,NA,NA,NA,26971,30508,20681,40336,NA,NA,56,"Ind.",318,360,NA,NA,NA
"80","Marine Mammals 1997","Hoonah_1997","Hoonah","1997","Marine","Marine Mammals","Marine Mammals","Seal","Seal","Harbor Seal","300806000","Harbor Seal",NA,NA,NA,NA,NA,9824.5,12182,9569,14796,NA,NA,56,"Ind.",116,144,NA,NA,NA
"81","Marine Mammals 1998","Hoonah_1998","Hoonah","1998","Marine","Marine Mammals","Marine Mammals","Seal","Seal","Harbor Seal","300806000","Harbor Seal",NA,NA,NA,NA,NA,12922,14241,12509,15972,NA,NA,56,"Ind.",154,170,NA,NA,NA
"82","Marine Mammals 2000","Hoonah_2000","Hoonah","2000","Marine","Marine Mammals","Marine Mammals","Seal","Seal","Harbor Seal","300806000","Harbor Seal",NA,NA,NA,NA,NA,10734.5,12305,10750,13861,NA,NA,56,"Ind.",129,148,NA,NA,NA
"83","Marine Mammals 2001","Hoonah_2001","Hoonah","2001","Marine","Marine Mammals","Marine Mammals","Seal","Seal","Harbor Seal","300806000","Harbor Seal",NA,NA,NA,NA,NA,10850,11972,10188,13757,NA,NA,56,"Ind.",130,143,NA,NA,NA
"84","Marine Mammals 2002","Hoonah_2002","Hoonah","2002","Marine","Marine Mammals","Marine Mammals","Seal","Seal","Harbor Seal","300806000","Harbor Seal",NA,NA,NA,NA,NA,6751.5,8132,NA,NA,NA,NA,56,"Ind.",80,96,NA,NA,NA
"85","Marine Mammals 2003","Hoonah_2003","Hoonah","2003","Marine","Marine Mammals","Marine Mammals","Seal","Seal","Harbor Seal","300806000","Harbor Seal",NA,NA,NA,NA,NA,3773,4373,NA,NA,NA,NA,56,"Ind.",45,52,NA,NA,NA
"86","Marine Mammals 2004","Hoonah_2004","Hoonah","2004","Marine","Marine Mammals","Marine Mammals","Seal","Seal","Harbor Seal","300806000","Harbor Seal",NA,NA,NA,NA,NA,4973.5,8952,NA,NA,NA,NA,56,"Ind.",59,106,NA,NA,NA
"87","Marine Mammals 2005","Hoonah_2005","Hoonah","2005","Marine","Marine Mammals","Marine Mammals","Seal","Seal","Harbor Seal","300806000","Harbor Seal",NA,NA,NA,NA,NA,4438,4438,4438,4438,NA,NA,56,"Ind.",53,53,NA,NA,NA
"88","Marine Mammals 2006","Hoonah_2006","Hoonah","2006","Marine","Marine Mammals","Marine Mammals","Seal","Seal","Harbor Seal","300806000","Harbor Seal",NA,NA,NA,NA,NA,3661,4624,3661,6935,NA,NA,56,"Ind.",44,55,NA,NA,NA
"89","Marine Mammals 1995","Hoonah_1995","Hoonah","1995","Marine","Marine Mammals","Marine Mammals","Stellar Sea Lion","Stellar Sea Lion","Stellar Sea Lion","301200000","Steller Sea Lion",NA,NA,NA,NA,NA,0,0,0,0,NA,NA,200,"Ind.",0,0,NA,NA,NA
"90","Marine Mammals 1996","Hoonah_1996","Hoonah","1996","Marine","Marine Mammals","Marine Mammals","Stellar Sea Lion","Stellar Sea Lion","Stellar Sea Lion","301200000","Steller Sea Lion",NA,NA,NA,NA,NA,0,0,0,0,NA,NA,200,"Ind.",0,0,NA,NA,NA
"91","Marine Mammals 1997","Hoonah_1997","Hoonah","1997","Marine","Marine Mammals","Marine Mammals","Stellar Sea Lion","Stellar Sea Lion","Stellar Sea Lion","301200000","Steller Sea Lion",NA,NA,NA,NA,NA,0,0,0,0,NA,NA,200,"Ind.",0,0,NA,NA,NA
"92","Marine Mammals 1998","Hoonah_1998","Hoonah","1998","Marine","Marine Mammals","Marine Mammals","Stellar Sea Lion","Stellar Sea Lion","Stellar Sea Lion","301200000","Steller Sea Lion",NA,NA,NA,NA,NA,0,0,0,0,NA,NA,200,"Ind.",0,0,NA,NA,NA
"93","Marine Mammals 2000","Hoonah_2000","Hoonah","2000","Marine","Marine Mammals","Marine Mammals","Stellar Sea Lion","Stellar Sea Lion","Stellar Sea Lion","301200000","Steller Sea Lion",NA,NA,NA,NA,NA,0,0,0,0,NA,NA,200,"Ind.",0,0,NA,NA,NA
"94","Marine Mammals 2001","Hoonah_2001","Hoonah","2001","Marine","Marine Mammals","Marine Mammals","Stellar Sea Lion","Stellar Sea Lion","Stellar Sea Lion","301200000","Steller Sea Lion",NA,NA,NA,NA,NA,0,0,0,0,NA,NA,200,"Ind.",0,0,NA,NA,NA
"95","Marine Mammals 2002","Hoonah_2002","Hoonah","2002","Marine","Marine Mammals","Marine Mammals","Stellar Sea Lion","Stellar Sea Lion","Stellar Sea Lion","301200000","Steller Sea Lion",NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,200,"Ind.",0,0,NA,NA,NA
"96","Marine Mammals 2003","Hoonah_2003","Hoonah","2003","Marine","Marine Mammals","Marine Mammals","Stellar Sea Lion","Stellar Sea Lion","Stellar Sea Lion","301200000","Steller Sea Lion",NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,200,"Ind.",0,0,NA,NA,NA
"97","Marine Mammals 2004","Hoonah_2004","Hoonah","2004","Marine","Marine Mammals","Marine Mammals","Stellar Sea Lion","Stellar Sea Lion","Stellar Sea Lion","301200000","Steller Sea Lion",NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,200,"Ind.",0,0,NA,NA,NA
"98","Marine Mammals 2005","Hoonah_2005","Hoonah","2005","Marine","Marine Mammals","Marine Mammals","Stellar Sea Lion","Stellar Sea Lion","Stellar Sea Lion","301200000","Steller Sea Lion",NA,NA,NA,NA,NA,0,0,0,0,NA,NA,200,"Ind.",0,0,NA,NA,NA
"99","Marine Mammals 2006","Hoonah_2006","Hoonah","2006","Marine","Marine Mammals","Marine Mammals","Stellar Sea Lion","Stellar Sea Lion","Stellar Sea Lion","301200000","Steller Sea Lion",NA,NA,NA,NA,NA,0,0,0,0,NA,NA,200,"Ind.",0,0,NA,NA,NA
"100","Marine Mammals 2007","Hoonah_2007","Hoonah","2007","Marine","Marine Mammals","Marine Mammals","Stellar Sea Lion","Stellar Sea Lion","Stellar Sea Lion","301200000","Steller Sea Lion",NA,NA,NA,NA,NA,0,0,0,0,NA,NA,200,"Ind.",0,0,NA,NA,NA
"101","Marine Mammals 2008","Hoonah_2008","Hoonah","2008","Marine","Marine Mammals","Marine Mammals","Stellar Sea Lion","Stellar Sea Lion","Stellar Sea Lion","301200000","Steller Sea Lion",NA,NA,NA,NA,NA,0,0,0,0,NA,NA,200,"Ind.",0,0,NA,NA,NA
"102","Marine Mammals 1995","Hydaburg_1995","Hydaburg","1995","Marine","Marine Mammals","Marine Mammals","Seal","Seal","Harbor Seal","300806000","Harbor Seal",NA,NA,NA,NA,NA,525,565,409,721,NA,NA,56,"Ind.",6,6,NA,NA,NA
"103","Marine Mammals 1996","Hydaburg_1996","Hydaburg","1996","Marine","Marine Mammals","Marine Mammals","Seal","Seal","Harbor Seal","300806000","Harbor Seal",NA,NA,NA,NA,NA,843.5,1265,-167,2697,NA,NA,56,"Ind.",10,15,NA,NA,NA
"104","Marine Mammals 1997","Hydaburg_1997","Hydaburg","1997","Marine","Marine Mammals","Marine Mammals","Seal","Seal","Harbor Seal","300806000","Harbor Seal",NA,NA,NA,NA,NA,780.5,993,548,1438,NA,NA,56,"Ind.",9,11,NA,NA,NA
"105","Marine Mammals 1998","Hydaburg_1998","Hydaburg","1998","Marine","Marine Mammals","Marine Mammals","Seal","Seal","Harbor Seal","300806000","Harbor Seal",NA,NA,NA,NA,NA,756,1210,542,1877,NA,NA,56,"Ind.",9,14,NA,NA,NA
"106","Marine Mammals 2000","Hydaburg_2000","Hydaburg","2000","Marine","Marine Mammals","Marine Mammals","Seal","Seal","Harbor Seal","300806000","Harbor Seal",NA,NA,NA,NA,NA,756,1210,549,1871,NA,NA,56,"Ind.",9,14,NA,NA,NA
"107","Marine Mammals 2001","Hydaburg_2001","Hydaburg","2001","Marine","Marine Mammals","Marine Mammals","Seal","Seal","Harbor Seal","300806000","Harbor Seal",NA,NA,NA,NA,NA,756,1210,549,1871,NA,NA,56,"Ind.",9,14,NA,NA,NA
"108","Marine Mammals 2002","Hydaburg_2002","Hydaburg","2002","Marine","Marine Mammals","Marine Mammals","Seal","Seal","Harbor Seal","300806000","Harbor Seal",NA,NA,NA,NA,NA,756,1210,NA,NA,NA,NA,56,"Ind.",9,14,NA,NA,NA
"109","Marine Mammals 2003","Hydaburg_2003","Hydaburg","2003","Marine","Marine Mammals","Marine Mammals","Seal","Seal","Harbor Seal","300806000","Harbor Seal",NA,NA,NA,NA,NA,756,1210,NA,NA,NA,NA,56,"Ind.",9,14,NA,NA,NA
"110","Marine Mammals 2004","Hydaburg_2004","Hydaburg","2004","Marine","Marine Mammals","Marine Mammals","Seal","Seal","Harbor Seal","300806000","Harbor Seal",NA,NA,NA,NA,NA,756,1210,NA,NA,NA,NA,56,"Ind.",9,14,NA,NA,NA
"111","Marine Mammals 2006","Hydaburg_2006","Hydaburg","2006","Marine","Marine Mammals","Marine Mammals","Seal","Seal","Harbor Seal","300806000","Harbor Seal",NA,NA,NA,NA,NA,756,1209,756,1870,NA,NA,56,"Ind.",9,14,NA,NA,NA
"112","Marine Mammals 1995","Hydaburg_1995","Hydaburg","1995","Marine","Marine Mammals","Marine Mammals","Stellar Sea Lion","Stellar Sea Lion","Stellar Sea Lion","301200000","Steller Sea Lion",NA,NA,NA,NA,NA,0,0,0,0,NA,NA,200,"Ind.",0,0,NA,NA,NA
"113","Marine Mammals 1996","Hydaburg_1996","Hydaburg","1996","Marine","Marine Mammals","Marine Mammals","Stellar Sea Lion","Stellar Sea Lion","Stellar Sea Lion","301200000","Steller Sea Lion",NA,NA,NA,NA,NA,0,0,0,0,NA,NA,200,"Ind.",0,0,NA,NA,NA
"114","Marine Mammals 1997","Hydaburg_1997","Hydaburg","1997","Marine","Marine Mammals","Marine Mammals","Stellar Sea Lion","Stellar Sea Lion","Stellar Sea Lion","301200000","Steller Sea Lion",NA,NA,NA,NA,NA,0,0,0,0,NA,NA,200,"Ind.",0,0,NA,NA,NA
"115","Marine Mammals 1998","Hydaburg_1998","Hydaburg","1998","Marine","Marine Mammals","Marine Mammals","Stellar Sea Lion","Stellar Sea Lion","Stellar Sea Lion","301200000","Steller Sea Lion",NA,NA,NA,NA,NA,0,0,0,0,NA,NA,200,"Ind.",0,0,NA,NA,NA
"116","Marine Mammals 2000","Hydaburg_2000","Hydaburg","2000","Marine","Marine Mammals","Marine Mammals","Stellar Sea Lion","Stellar Sea Lion","Stellar Sea Lion","301200000","Steller Sea Lion",NA,NA,NA,NA,NA,0,0,0,0,NA,NA,200,"Ind.",0,0,NA,NA,NA
"117","Marine Mammals 2001","Hydaburg_2001","Hydaburg","2001","Marine","Marine Mammals","Marine Mammals","Stellar Sea Lion","Stellar Sea Lion","Stellar Sea Lion","301200000","Steller Sea Lion",NA,NA,NA,NA,NA,0,0,0,0,NA,NA,200,"Ind.",0,0,NA,NA,NA
"118","Marine Mammals 2002","Hydaburg_2002","Hydaburg","2002","Marine","Marine Mammals","Marine Mammals","Stellar Sea Lion","Stellar Sea Lion","Stellar Sea Lion","301200000","Steller Sea Lion",NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,200,"Ind.",0,0,NA,NA,NA
"119","Marine Mammals 2003","Hydaburg_2003","Hydaburg","2003","Marine","Marine Mammals","Marine Mammals","Stellar Sea Lion","Stellar Sea Lion","Stellar Sea Lion","301200000","Steller Sea Lion",NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,200,"Ind.",0,0,NA,NA,NA
"120","Marine Mammals 2004","Hydaburg_2004","Hydaburg","2004","Marine","Marine Mammals","Marine Mammals","Stellar Sea Lion","Stellar Sea Lion","Stellar Sea Lion","301200000","Steller Sea Lion",NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,200,"Ind.",0,0,NA,NA,NA
"121","Marine Mammals 2006","Hydaburg_2006","Hydaburg","2006","Marine","Marine Mammals","Marine Mammals","Stellar Sea Lion","Stellar Sea Lion","Stellar Sea Lion","301200000","Steller Sea Lion",NA,NA,NA,NA,NA,0,0,0,0,NA,NA,200,"Ind.",0,0,NA,NA,NA
"122","Marine Mammals 2007","Hydaburg_2007","Hydaburg","2007","Marine","Marine Mammals","Marine Mammals","Stellar Sea Lion","Stellar Sea Lion","Stellar Sea Lion","301200000","Steller Sea Lion",NA,NA,NA,NA,NA,0,0,0,0,NA,NA,200,"Ind.",0,0,NA,NA,NA
"123","Marine Mammals 1995","Juneau_1995","Juneau","1995","Marine","Marine Mammals","Marine Mammals","Seal","Seal","Harbor Seal","300806000","Harbor Seal",NA,NA,NA,NA,NA,2891,3647,2675,4619,NA,NA,56,"Ind.",34,43,NA,NA,NA
"124","Marine Mammals 1996","Juneau_1996","Juneau","1996","Marine","Marine Mammals","Marine Mammals","Seal","Seal","Harbor Seal","300806000","Harbor Seal",NA,NA,NA,NA,NA,2100,2756,1938,3575,NA,NA,56,"Ind.",25,33,NA,NA,NA
"125","Marine Mammals 1997","Juneau_1997","Juneau","1997","Marine","Marine Mammals","Marine Mammals","Seal","Seal","Harbor Seal","300806000","Harbor Seal",NA,NA,NA,NA,NA,3871,8516,662,16370,NA,NA,56,"Ind.",45,99,NA,NA,NA
"126","Marine Mammals 1998","Juneau_1998","Juneau","1998","Marine","Marine Mammals","Marine Mammals","Seal","Seal","Harbor Seal","300806000","Harbor Seal",NA,NA,NA,NA,NA,5537,7704,5242,10165,NA,NA,56,"Ind.",65,90,NA,NA,NA
"127","Marine Mammals 2000","Juneau_2000","Juneau","2000","Marine","Marine Mammals","Marine Mammals","Seal","Seal","Harbor Seal","300806000","Harbor Seal",NA,NA,NA,NA,NA,1431.5,5044,2832,7257,NA,NA,56,"Ind.",17,60,NA,NA,NA
"128","Marine Mammals 2001","Juneau_2001","Juneau","2001","Marine","Marine Mammals","Marine Mammals","Seal","Seal","Harbor Seal","300806000","Harbor Seal",NA,NA,NA,NA,NA,1617,2548,1192,3904,NA,NA,56,"Ind.",19,30,NA,NA,NA
"129","Marine Mammals 2002","Juneau_2002","Juneau","2002","Marine","Marine Mammals","Marine Mammals","Seal","Seal","Harbor Seal","300806000","Harbor Seal",NA,NA,NA,NA,NA,990.5,1421,NA,NA,NA,NA,56,"Ind.",12,17,NA,NA,NA
"130","Marine Mammals 2003","Juneau_2003","Juneau","2003","Marine","Marine Mammals","Marine Mammals","Seal","Seal","Harbor Seal","300806000","Harbor Seal",NA,NA,NA,NA,NA,920.5,2531,NA,NA,NA,NA,56,"Ind.",11,30,NA,NA,NA
"131","Marine Mammals 2004","Juneau_2004","Juneau","2004","Marine","Marine Mammals","Marine Mammals","Seal","Seal","Harbor Seal","300806000","Harbor Seal",NA,NA,NA,NA,NA,486.5,1103,NA,NA,NA,NA,56,"Ind.",6,14,NA,NA,NA
"132","Marine Mammals 2005","Juneau_2005","Juneau","2005","Marine","Marine Mammals","Marine Mammals","Seal","Seal","Harbor Seal","300806000","Harbor Seal",NA,NA,NA,NA,NA,682.5,682,682,682,NA,NA,56,"Ind.",8,8,NA,NA,NA
"133","Marine Mammals 2006","Juneau_2006","Juneau","2006","Marine","Marine Mammals","Marine Mammals","Seal","Seal","Harbor Seal","300806000","Harbor Seal",NA,NA,NA,NA,NA,1620.5,2228,1620,3139,NA,NA,56,"Ind.",19,26,NA,NA,NA
"134","Marine Mammals 1995","Juneau_1995","Juneau","1995","Marine","Marine Mammals","Marine Mammals","Stellar Sea Lion","Stellar Sea Lion","Stellar Sea Lion","301200000","Steller Sea Lion",NA,NA,NA,NA,NA,0,0,0,0,NA,NA,200,"Ind.",0,0,NA,NA,NA
"135","Marine Mammals 1996","Juneau_1996","Juneau","1996","Marine","Marine Mammals","Marine Mammals","Stellar Sea Lion","Stellar Sea Lion","Stellar Sea Lion","301200000","Steller Sea Lion",NA,NA,NA,NA,NA,0,0,0,0,NA,NA,200,"Ind.",0,0,NA,NA,NA
"136","Marine Mammals 1997","Juneau_1997","Juneau","1997","Marine","Marine Mammals","Marine Mammals","Stellar Sea Lion","Stellar Sea Lion","Stellar Sea Lion","301200000","Steller Sea Lion",NA,NA,NA,NA,NA,0,0,0,0,NA,NA,200,"Ind.",0,0,NA,NA,NA
"137","Marine Mammals 1998","Juneau_1998","Juneau","1998","Marine","Marine Mammals","Marine Mammals","Stellar Sea Lion","Stellar Sea Lion","Stellar Sea Lion","301200000","Steller Sea Lion",NA,NA,NA,NA,NA,0,0,0,0,NA,NA,200,"Ind.",0,0,NA,NA,NA
"138","Marine Mammals 2000","Juneau_2000","Juneau","2000","Marine","Marine Mammals","Marine Mammals","Stellar Sea Lion","Stellar Sea Lion","Stellar Sea Lion","301200000","Steller Sea Lion",NA,NA,NA,NA,NA,0,0,0,0,NA,NA,200,"Ind.",0,0,NA,NA,NA
"139","Marine Mammals 2001","Juneau_2001","Juneau","2001","Marine","Marine Mammals","Marine Mammals","Stellar Sea Lion","Stellar Sea Lion","Stellar Sea Lion","301200000","Steller Sea Lion",NA,NA,NA,NA,NA,0,0,0,0,NA,NA,200,"Ind.",0,0,NA,NA,NA
"140","Marine Mammals 2002","Juneau_2002","Juneau","2002","Marine","Marine Mammals","Marine Mammals","Stellar Sea Lion","Stellar Sea Lion","Stellar Sea Lion","301200000","Steller Sea Lion",NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,200,"Ind.",0,0,NA,NA,NA
"141","Marine Mammals 2003","Juneau_2003","Juneau","2003","Marine","Marine Mammals","Marine Mammals","Stellar Sea Lion","Stellar Sea Lion","Stellar Sea Lion","301200000","Steller Sea Lion",NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,200,"Ind.",0,0,NA,NA,NA
"142","Marine Mammals 2004","Juneau_2004","Juneau","2004","Marine","Marine Mammals","Marine Mammals","Stellar Sea Lion","Stellar Sea Lion","Stellar Sea Lion","301200000","Steller Sea Lion",NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,200,"Ind.",0,0,NA,NA,NA
"143","Marine Mammals 2005","Juneau_2005","Juneau","2005","Marine","Marine Mammals","Marine Mammals","Stellar Sea Lion","Stellar Sea Lion","Stellar Sea Lion","301200000","Steller Sea Lion",NA,NA,NA,NA,NA,0,0,0,0,NA,NA,200,"Ind.",0,0,NA,NA,NA
"144","Marine Mammals 2006","Juneau_2006","Juneau","2006","Marine","Marine Mammals","Marine Mammals","Stellar Sea Lion","Stellar Sea Lion","Stellar Sea Lion","301200000","Steller Sea Lion",NA,NA,NA,NA,NA,200,275,275,556,NA,NA,200,"Ind.",1,1,NA,NA,NA
"145","Marine Mammals 2007","Juneau_2007","Juneau","2007","Marine","Marine Mammals","Marine Mammals","Stellar Sea Lion","Stellar Sea Lion","Stellar Sea Lion","301200000","Steller Sea Lion",NA,NA,NA,NA,NA,0,0,0,0,NA,NA,200,"Ind.",0,0,NA,NA,NA
"146","Marine Mammals 2008","Juneau_2008","Juneau","2008","Marine","Marine Mammals","Marine Mammals","Stellar Sea Lion","Stellar Sea Lion","Stellar Sea Lion","301200000","Steller Sea Lion",NA,NA,NA,NA,NA,0,0,0,0,NA,NA,200,"Ind.",0,0,NA,NA,NA
"147","Marine Mammals 1995","Kake_1995","Kake","1995","Marine","Marine Mammals","Marine Mammals","Seal","Seal","Harbor Seal","300806000","Harbor Seal",NA,NA,NA,NA,NA,4207,6182,4124,8240,NA,NA,56,"Ind.",49,72,NA,NA,NA
"148","Marine Mammals 1996","Kake_1996","Kake","1996","Marine","Marine Mammals","Marine Mammals","Seal","Seal","Harbor Seal","300806000","Harbor Seal",NA,NA,NA,NA,NA,6545,7250,6133,8366,NA,NA,56,"Ind.",78,86,NA,NA,NA
"149","Marine Mammals 1997","Kake_1997","Kake","1997","Marine","Marine Mammals","Marine Mammals","Seal","Seal","Harbor Seal","300806000","Harbor Seal",NA,NA,NA,NA,NA,4518.5,5723,2921,8526,NA,NA,56,"Ind.",54,68,NA,NA,NA
"150","Marine Mammals 1998","Kake_1998","Kake","1998","Marine","Marine Mammals","Marine Mammals","Seal","Seal","Harbor Seal","300806000","Harbor Seal",NA,NA,NA,NA,NA,8512,10369,7801,12938,NA,NA,56,"Ind.",101,123,NA,NA,NA
"151","Marine Mammals 2000","Kake_2000","Kake","2000","Marine","Marine Mammals","Marine Mammals","Seal","Seal","Harbor Seal","300806000","Harbor Seal",NA,NA,NA,NA,NA,2408,8745,3118,14371,NA,NA,56,"Ind.",28,102,NA,NA,NA
