"","Site","log_alpha","y0","yf","alpha","richness","sw_diversity","evenness","X","avg","sd","sw_div_h","richness_h","evenness_h","evenness_h_log"
"1","Angoon",-1.59365497157873,94.1035504199718,0.811180807311623,0.203181629863673,45,2.55912899190363,0.672276304710703,1,25,8.92337405091508,1.33139879413584,4,0.960401218872661,-0.040404145505627
"2","Beecher Pass",-1.66841359113381,100.325288645558,-0.391204606109228,0.188545939458068,27,2.63377267145991,0.799121066526856,2,25,10.412889362667,1.30686855034688,4,0.942706388339595,-0.0590004039618619
"3","Chenega",-1.91594487855773,97.840848401966,1.1665485376522,0.147202678200245,68,2.97059367031494,0.704014277938368,3,25,17.235599561195,1.16739821439009,4,0.842099807321608,-0.171856735753237
"4","Coffman Cove",-1.77287503981882,92.0556774618528,1.03443646927996,0.169843977999716,50,2.72065364106023,0.695459519866109,4,25,8.99928449520842,1.3310852736438,4,0.960175061643121,-0.040639655266816
"5","Cooper Landing",-1.44324144127458,94.8951526087485,1.45013637197193,0.236161014615314,36,2.45259290350991,0.68440908102653,5,24.9978780291134,22.3831989248949,1.03518457113544,4,0.746727823590936,-0.29205451956032
"6","Cordova",-1.60699699661827,99.3562894465217,1.64501998481319,0.200488779455235,76,2.71573295608712,0.627083854557429,6,24.998917950929,16.0784810277874,1.18620734832311,4,0.855667729445898,-0.155873144731691
"7","Craig",-2.06412524252268,93.1185793899627,0.301925632636181,0.1269292743508,56,2.97704503784396,0.739573897281076,7,24.999615161409,6.27582168178737,1.36055858200549,4,0.981435559549117,-0.0187389224906819
"8","Edna Bay",-1.92790903402513,90.4485544858767,1.03631106700557,0.145452015953268,42,2.81862929585946,0.754114082762082,8,25,14.0667074484671,1.25297441307249,4,0.903829986050219,-0.101114004805583
"9","Elfin Cove",-1.32094826575829,94.7922428168112,2.20167067304621,0.266882106773304,22,2.30672382385969,0.746260803164807,9,25,10.7542918052154,1.31167715433206,4,0.946175062901108,-0.0553276711301602
"10","Game Creek",-1.43994946308807,99.4649088498537,-0.672128628158009,0.236939732581956,24,2.38347542159238,0.749979562596467,10,25,8.4002321878328,1.3470075789192,4,0.971660577073289,-0.028748736048289
"11","Gustavus",-1.10449123124826,99.2039845231613,1.37545301294112,0.331379434862619,29,2.17654558441858,0.64637789321508,11,25,9.29716789370217,1.32513874645547,4,0.955885549000563,-0.0451170917162392
"12","Haines",-1.89884793851862,97.4725748148516,0.713643923445464,0.149741030762942,59,2.91430203855366,0.714721097879646,12,25,20.5911578362188,1.10638521373884,4,0.798088230586949,-0.225536122998849
"13","Hollis",-1.87703963254207,96.0753826737824,0.501628059034955,0.153042497833371,43,2.84436807769106,0.756239495426729,13,24.9988009017219,5.31432889490413,1.3679095618093,4,0.986738170603434,-0.0133505527517959
"14","Hoonah",-1.9475258092779,95.33680967738,-0.0396322678680352,0.142626520607681,49,2.87242756038511,0.738067880929548,14,24.9935568532174,5.25163922191402,1.36839698129216,4,0.987089769438816,-0.0129942918721436
"15","Hope",-1.74337668377469,97.6111343249234,0.422335524677894,0.17492872324399,41,2.73200590546886,0.735681402271382,15,25,23.8108403021915,1.00571702589111,4,0.72547148289535,-0.320933514259718
"16","Hydaburg",-1.79759145756274,93.3544187914818,0.578646269576047,0.165697497449624,44,2.72938720946778,0.72126068551213,16,24.9997315467375,10.4200637044892,1.32213492366247,4,0.95371874887698,-0.0473864634975229
"17","Hyder",-1.78649180192781,100.43017155544,-0.317437160726717,0.167546927642207,30,2.75474070682063,0.809932620104041,17,25,12.5661802575243,1.29440493405855,4,0.933715789634238,-0.0685831808135252
"18","Kake",-1.6588869208103,96.284639303328,0.902693370694656,0.190350737673032,42,2.65702995089005,0.71087876196783,18,24.9994075236596,6.86998170608645,1.35509640600434,4,0.97749543243446,-0.022761659834853
"19","Kasaan",-1.39755377850813,94.6105953334643,1.70339101096298,0.247200933154685,32,2.41079654813795,0.695608844918169,19,25,9.15852958216959,1.33999407576393,4,0.966601403962607,-0.0339690670969267
"20","Klawock",-2.04112486981236,94.7870765624118,0.501751933708332,0.129882527740732,55,2.99658829188445,0.7477761776653,20,25,8.52190515252452,1.34323120058102,4,0.968936495922786,-0.031556204922327
"21","Klukwan",-1.06357834946999,95.8232366713332,1.38631339085001,0.345218285832851,38,2.11180663206496,0.580551645881511,21,25,39.6508432272132,0.583365230400893,4,0.420809062463208,-0.865576081518657
"22","Metlakatla",-2.04502529100506,96.6839032877734,-1.92173986851009,0.12937691786371,36,2.89060183610343,0.806637800928935,22,25,4.93462811016488,1.37190103509437,4,0.989617409960539,-0.0104368651316331
"23","Meyers Chuck",-1.66941207865577,100.219176839359,-1.10102902860198,0.188357772646942,27,2.60694226155083,0.790980369338281,23,25,13.346937609466,1.27151950652891,4,0.917207443231421,-0.0864216128640439
"24","Moose Pass",-1.46994439043938,100.51657955117,0.757653703828669,0.22993827159745,27,2.49410451567909,0.756743921826079,24,24.953786506517,16.0450414637645,1.20467024567799,4,0.86898589467306,-0.140428385525051
"25","Naukati Bay",-1.71859734704043,97.9272907165827,0.243752761389455,0.17931749180674,39,2.70269438061818,0.737723188982894,25,25,9.27921117942088,1.33242604501558,4,0.961142223747638,-0.0396328853870441
"26","Pelican",-1.54540210420342,91.5529786816299,1.5001158672325,0.213226114865509,36,2.49261469057519,0.69557737335388,26,25,10.1607170025768,1.31590847813521,4,0.949227317834707,-0.0521069749835148
"27","Petersburg",-1.83108596529057,94.7868316339866,1.34971354426081,0.160239458763715,46,2.82156334427793,0.73696203224082,27,25,10.0170319029917,1.31571845229155,4,0.949090243163564,-0.0522513919917098
"28","Point Baker",-1.8617048875857,95.4757110212588,-0.194034905949351,0.15540745214681,39,2.77728245010865,0.758082630612399,28,25,9.94289677078834,1.31614450441223,4,0.949397574804395,-0.0519276273189985
"29","Port Alexander",-1.36168628419659,92.6195674017861,1.54988002519312,0.256228338650903,33,2.33321442397843,0.667298549470276,29,25,14.5819528661537,1.24637322179618,4,0.899068233091072,-0.106396348512968
"30","Port Protection",-2.03778506526515,95.4917181727548,0.179671030675701,0.130317035178557,48,2.97614221974201,0.768790411904761,30,25,8.1340647460731,1.34689314837398,4,0.971578032883229,-0.0288336913282902
"31","Saxman",-1.85706577131912,93.7555236882728,0.335570339519085,0.156130080267951,43,2.77527425191493,0.737869341313464,31,25,9.79056056986483,1.33034181868588,4,0.959638772252661,-0.0411983442344037
"32","Seward",-1.40845836161775,98.5954211578366,1.27277120578947,0.244519954080094,33,2.46600454723853,0.705276480570302,32,24.9431007938526,19.6299729177954,1.14618922681227,4,0.82680075672121,-0.190191535934001
"33","Sitka",-2.01063444318489,90.093874999731,0.533143910841919,0.133903693428045,58,2.88460084807863,0.710415302120063,33,25,9.39042014837915,1.32628743037917,4,0.9567141493007,-0.0442506267129117
"34","Skagway",-1.72549747975521,102.619611888108,-1.98386462946142,0.178084436330739,28,2.64510029838217,0.793798907091419,34,25,21.4600950808299,1.06595015570035,4,0.768920501731854,-0.262767693582664
"35","Tatitlek",-1.77129444077109,95.9848153105324,0.720545527073582,0.170112645501471,54,2.76360124950304,0.692808298364427,35,25,15.3253587125398,1.22345683135461,4,0.88253755166851,-0.124953939614239
"36","Tenakee Springs",-1.60570083606586,90.7156953635799,0.555865318388598,0.200748813588955,31,2.45437553518146,0.714730541795786,36,25,10.5012394268136,1.31120882861589,4,0.945837237306982,-0.0556847783198744
"37","Thorne Bay",-1.74577687086984,95.9272506520929,0.570893784848977,0.174509365050276,49,2.7244976018821,0.700057400698787,37,25,11.5342712013255,1.29745616523248,4,0.935916787675852,-0.0662287085122807
"38","Valdez",-1.68409881394466,94.763571778996,1.83103296047813,0.185611627217794,51,2.72526650619419,0.693130052236289,38,24.9979292192871,16.9594935420322,1.12756551091252,4,0.81336658543546,-0.206573366466593
"39","Whale Pass",-1.65137330269746,91.8786141147809,1.20675507825409,0.191786346979576,37,2.58676627797924,0.716373603764642,39,24.99449409951,11.1228186284121,1.30672265578058,4,0.942601147655948,-0.0591120469503369
"40","Whitestone",-0.889019010926232,97.5954667391613,2.28795383098349,0.411058799218643,29,1.98829399468666,0.59047202713242,40,25,13.6341751718258,1.26758365083976,4,0.914368323489226,-0.0895218089550067
"41","Whittier",-1.80900554236965,88.4459692848734,0.907772122654705,0.163816964857168,45,2.63339096069336,0.691784724222359,41,25,18.6407643431071,1.10479084359713,4,0.79693813563856,-0.226978224737176
"42","Wrangell",-1.91508697425641,96.8635476432038,1.3304985223192,0.147329018197104,49,2.93804195582157,0.754927445454744,42,25,8.34245360665875,1.34167902366757,4,0.967816836954973,-0.0327124276312704
"43","Yakutat",-1.79259491606799,97.6918451414222,1.47955501271045,0.166527483674768,69,2.86341230093711,0.676273092759501,43,25,15.6705938594481,1.23991724685873,4,0.894411231577897,-0.111589618992555
