"","Forest","Project_Name","Site_Year_Code","Taxa_lvl1","Taxa_lvl2","Taxa_lvl3","Taxa_lvl4","Taxa_lvl5","Resource_Code","Resource_Name","Sampled_households","Est_Num_Community_Households","Sampled_Population","Est_Comm_Population","Most_Rep_Year","Conversion_Units_To_Pounds","Resource_Harvest_Units","Percent_Using","Percent_Attempting_to_Harvest","Percent_Harvesting","Percent_Receiving","Percent_Giving","Reported_Pounds_Harvested","Estimated_Total_Pounds_Harvested","Lower_Pounds_Harvested","Upper_Pounds_Harvested","Mean_Pounds_Per_Household","Percapita_Pounds_Harvested","Number_Of_Resource_Harvested","Estimated_Amount_Harvested","Percent_Of_Total_Harvest","Mean_Grams_Per_Capita_Use","Mean_Pounds_Per_Capita_Use","Mean_Grams_Percapita_Harvest"
"140","Tongass","Saxman 1999/2000","Petersburg_2000","Vegetation","Vegetation","Berries","Berries","Blueberry",601002000,"Blueberry",125,1070,344,2945,"Yes",1.5,"Quarts",0.472,0.44799998,0.44799998,0.08,0.096,566.25,4847.1,3170.025,6524.1753,4.53,1.6460756,377.5,3231.4,0.010197521,4.333894,3.4874482,2.0455985
"141","Tongass","Saxman 1999/2000","Petersburg_2000","Vegetation","Vegetation","Berries","Berries","Low Bush Cranberry",601004000,"Low Bush Cranberry",125,1070,344,2945,"Yes",1.5,"Quarts",0.152,0.144,0.144,0.016,0.04,171,1463.76,628.23413,2299.286,1.368,0.49709302,114,975.84,0.0030795166,4.064102,3.270349,0.6177436
"142","Tongass","Saxman 1999/2000","Petersburg_2000","Vegetation","Vegetation","Berries","Berries","High Bush Cranberry",601006000,"High Bush Cranberry",125,1070,344,2945,"Yes",1.5,"Quarts",0.072,0.072,0.072,0.016,0.032,85.5,731.88,167.96904,1295.791,0.684,0.24854651,57,487.92,0.0015397583,4.2898855,3.452035,0.3088718
"143","Tongass","Saxman 1999/2000","Petersburg_2000","Vegetation","Vegetation","Berries","Berries","Elderberry",601008000,"Elderberry",125,1070,344,2945,"Yes",1.5,"Quarts",0.008,0.008,0.008,0,0,3,25.68,3,73.447296,0.024,0.008720931,2,17.12,5.4026605e-05,1.3547006,1.0901163,0.010837607
"144","Tongass","Saxman 1999/2000","Petersburg_2000","Vegetation","Vegetation","Berries","Berries","Currants",601012000,"Currants",125,1070,344,2945,"Yes",1,"Quarts",0.008,0.008,0.008,0,0,2,17.12,2,48.964863,0.016,0.0058139535,2,17.12,3.6017736e-05,5.7800575e-05,4.6511628e-05,0.0072250715
"145","Tongass","Saxman 1999/2000","Petersburg_2000","Vegetation","Vegetation","Berries","Berries","Huckleberry",601014000,"Huckleberry",125,1070,344,2945,"Yes",1.5,"Quarts",0.152,0.152,0.152,0.032,0.024,135,1155.6,454.34064,1856.8594,1.08,0.39244187,90,770.4,0.002431197,3.2085018,2.5818546,0.48769233
"146","Tongass","Saxman 1999/2000","Petersburg_2000","Vegetation","Vegetation","Berries","Berries","Cloud Berry",601016000,"Cloud Berry",125,1070,344,2945,"Yes",1,"Quarts",0.016,0.016,0.016,0.008,0,2,17.12,2,39.546738,0.016,0.0058139535,2,17.12,3.6017736e-05,0.00011560115,9.3023256e-05,0.0072250715
"147","Tongass","Saxman 1999/2000","Petersburg_2000","Vegetation","Vegetation","Berries","Berries","Nagoonberry",601018000,"Nagoonberry",125,1070,344,2945,"Yes",1,"Quarts",0.048,0.04,0.04,0.016,0.008,23,196.88,23,389.22897,0.184,0.06686047,23,196.88,0.00041420397,1.7310063,1.3929263,0.08308832
"148","Tongass","Saxman 1999/2000","Petersburg_2000","Vegetation","Vegetation","Berries","Berries","Raspberry",601020000,"Raspberry",125,1070,344,2945,"Yes",1.5,"Quarts",0.055999998,0.055999998,0.055999998,0.008,0.016,60,513.6,60,1235.8646,0.48,0.1744186,40,342.4,0.0010805321,3.870573,3.1146178,0.21675216
"149","Tongass","Saxman 1999/2000","Petersburg_2000","Vegetation","Vegetation","Berries","Berries","Salmonberry",601022000,"Salmonberry",125,1070,344,2945,"Yes",1.5,"Quarts",0.216,0.20799999,0.20799999,0.032,0.064,183,1566.48,797.28345,2335.6765,1.464,0.53197676,122,1044.32,0.0032956228,3.0606198,2.4628553,0.66109407
"150","Tongass","Saxman 1999/2000","Petersburg_2000","Vegetation","Vegetation","Berries","Berries","Soapberry",601024000,"Soapberry",125,1070,344,2945,"Yes",1.5,"Quarts",0.008,0.008,0.008,0,0,4.5,38.52,4.5,110.170944,0.036,0.013081395,3,25.68,8.103991e-05,2.0320506,1.6351743,0.01625641
"151","Tongass","Saxman 1999/2000","Petersburg_2000","Vegetation","Vegetation","Berries","Berries","Strawberry",601026000,"Strawberry",125,1070,344,2945,"Yes",1.5,"Quarts",0.008,0.008,0.008,0,0.008,6,51.36,6,146.89459,0.048,0.017441861,4,34.24,0.00010805321,2.7094011,2.1802325,0.021675214
"152","Tongass","Saxman 1999/2000","Petersburg_2000","Vegetation","Vegetation","Berries","Berries","Thimbleberry",601028000,"Thimbleberry",125,1070,344,2945,"Yes",1.25,"Quarts",0.008,0.008,0.008,0.008,0,15,128.4,15,367.23648,0.12,0.04360465,12,102.72,0.00027013302,6.773503,5.450581,0.05418804
"153","Tongass","Saxman 1999/2000","Petersburg_2000","Vegetation","Vegetation","Berries","Berries","Other Wild Berry",601099000,"Other Wild Berry",125,1070,344,2945,"Yes",1.5,"Quarts",0.008,0.008,0.008,0,0.008,6,51.36,6,146.89459,0.048,0.017441861,4,34.24,0.00010805321,2.7094011,2.1802325,0.021675214
"154","Tongass","Saxman 1999","Saxman_1999","Vegetation","Vegetation","Berries","Berries","Blueberry",601002000,"Blueberry",73,110,252,379.7,"Yes",1.5,"Quarts",0.50684935,0.47945204,0.47945204,0.08219178,0.19178082,1295.137,1951.5763,1536.9807,2366.1719,11.827735,3.4107144,863.4247,1301.0509,0.015706,8.362516,6.729247,4.238537
"155","Tongass","Saxman 1999","Saxman_1999","Vegetation","Vegetation","Berries","Berries","Low Bush Cranberry",601004000,"Low Bush Cranberry",73,110,252,379.7,"Yes",1.5,"Quarts",0.01369863,0.01369863,0.01369863,0,0,18.082191,27.247139,6.341096,48.15318,0.16513418,0.04761905,12.054794,18.164759,0.000219281,4.319904,3.4761906,0.059176777
"156","Tongass","Saxman 1999","Saxman_1999","Vegetation","Vegetation","Berries","Berries","High Bush Cranberry",601006000,"High Bush Cranberry",73,110,252,379.7,"Yes",1.5,"Quarts",0.01369863,0.01369863,0.01369863,0.01369863,0.01369863,27.123287,40.87071,9.511643,72.229774,0.24770126,0.071428575,18.082191,27.247139,0.00032892148,6.4798555,5.214286,0.08876517
"157","Tongass","Saxman 1999","Saxman_1999","Vegetation","Vegetation","Berries","Berries","Elderberry",601008000,"Elderberry",73,110,252,379.7,"Yes",1.5,"Quarts",0.08219178,0.08219178,0.08219178,0,0.02739726,1096.2329,1651.8578,690.2307,2613.4849,10.011259,2.8869047,730.8219,1101.2385,0.01329391,43.64903,35.12401,3.5875921
"158","Tongass","Saxman 1999","Saxman_1999","Vegetation","Vegetation","Berries","Berries","Gooseberry",601010000,"Gooseberry",73,110,252,379.7,"Yes",1.5,"Quarts",0.01369863,0.01369863,0.01369863,0,0.01369863,90.41096,136.23569,31.705479,240.7659,0.82567084,0.23809524,60.27397,90.82379,0.001096405,21.59952,17.380953,0.2958839
"159","Tongass","Saxman 1999","Saxman_1999","Vegetation","Vegetation","Berries","Berries","Currants",601012000,"Currants",73,110,252,379.7,"Yes",1,"Quarts",0.02739726,0.02739726,0.02739726,0,0.01369863,18.835617,28.382435,7.470345,49.294525,0.25802213,0.049603175,18.835617,28.382435,0.0002284177,2.24995,1.8105159,0.061642475
"160","Tongass","Saxman 1999","Saxman_1999","Vegetation","Vegetation","Berries","Berries","Huckleberry",601014000,"Huckleberry",73,110,252,379.7,"Yes",1.5,"Quarts",0.32876712,0.32876712,0.31506848,0.02739726,0.08219178,861.16437,1297.645,897.5039,1697.786,7.864515,2.267857,574.1096,865.0966,0.010443257,8.572309,6.898065,2.818294
"161","Tongass","Saxman 1999","Saxman_1999","Vegetation","Vegetation","Berries","Berries","Cloud Berry",601016000,"Cloud Berry",73,110,252,379.7,"Yes",1,"Quarts",0.01369863,0.01369863,0.01369863,0,0.01369863,0.75342464,1.1352974,0.2642123,2.0063825,0.010320886,0.001984127,0.75342464,1.1352974,9.136708e-06,3.3776698e-05,2.7179822e-05,0.002465699
"162","Tongass","Saxman 1999","Saxman_1999","Vegetation","Vegetation","Berries","Berries","Raspberry",601020000,"Raspberry",73,110,252,379.7,"Yes",1.5,"Quarts",0.05479452,0.05479452,0.05479452,0,0.01369863,63.28767,95.36498,40.974457,149.75551,0.5779696,0.16666667,42.19178,63.576656,0.0007674835,3.7799158,3.0416667,0.20711872
"163","Tongass","Saxman 1999","Saxman_1999","Vegetation","Vegetation","Berries","Berries","Salmonberry",601022000,"Salmonberry",73,110,252,379.7,"Yes",1.5,"Quarts",0.49315068,0.47945204,0.46575344,0.05479452,0.1369863,1744.9315,2629.3489,2015.5082,3243.1895,15.935448,4.595238,1163.2877,1752.8992,0.021160617,11.579742,9.318122,5.710559
"164","Tongass","Saxman 1999","Saxman_1999","Vegetation","Vegetation","Berries","Berries","Soapberry",601024000,"Soapberry",73,110,252,379.7,"Yes",NA,"Quarts",0.05479452,0,0,0.05479452,0,0,0,0,0,0,0,0,0,0,0,0,0
"165","Tongass","Saxman 1999","Saxman_1999","Vegetation","Vegetation","Berries","Berries","Strawberry",601026000,"Strawberry",73,110,252,379.7,"Yes",1.5,"Quarts",0.06849315,0.05479452,0.05479452,0.01369863,0.01369863,23.167809,34.910397,19.42718,50.393612,0.21157816,0.061011903,15.445206,23.273598,0.00028095377,0.0051931674,0.0041788975,0.075820245
"166","Tongass","Saxman 1999","Saxman_1999","Vegetation","Vegetation","Berries","Berries","Thimbleberry",601028000,"Thimbleberry",73,110,252,379.7,"Yes",1.25,"Quarts",0.04109589,0.04109589,0.04109589,0,0.02739726,13.655822,20.577267,9.7584915,31.39604,0.14965284,0.035962302,10.924658,16.461813,0.00016560285,0.001836608,0.0014779028,0.044690795
"167","Tongass","Saxman 1999","Saxman_1999","Vegetation","Vegetation","Berries","Berries","Blackberry",601030000,"Blackberry",73,110,252,379.7,"Yes",NA,NA,0.01369863,0.01369863,0.01369863,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"168","Tongass","Saxman 1999","Saxman_1999","Vegetation","Vegetation","Berries","Berries","Other Wild Berry",601099000,"Other Wild Berry",73,110,252,379.7,"Yes",1.5,"Quarts",0.05479452,0.04109589,0.04109589,0.01369863,0.02739726,45.20548,68.11784,33.555958,102.67973,0.41283542,0.11904762,30.136986,45.411896,0.0005482025,2.69994,2.172619,0.14794195
"169","Tongass","Southeast Index Communities","Sitka_2013","Vegetation","Vegetation","Berries","Berries","Blueberry",601002000,"Blueberry",212,2965,592,7873.2,"Yes",4,"Gal.",0.661,0.614,0.614,0.14,0.23,1374.6,15226.3,11587.215,18865.385,5.1,1.933933,343.6,3806.6,0.011,3.6378338,2.9273338,2.4033225
"170","Tongass","Southeast Index Communities","Sitka_2013","Vegetation","Vegetation","Berries","Berries","Low Bush Cranberry",601004000,"Low Bush Cranberry",212,2965,592,7873.2,"Yes",4,"Gal.",0.06,0.051999997,0.05,0.017,0.019,100,995.2,100,1890.88,0.3,0.12640385,25,248.8,0.001,2.6386077,2.123265,0.15708363
"171","Tongass","Southeast Index Communities","Sitka_2013","Vegetation","Vegetation","Berries","Berries","High Bush Cranberry",601006000,"High Bush Cranberry",212,2965,592,7873.2,"Yes",4,"Gal.",0.0069999998,0,0,0.0069999998,0,0,0,NA,NA,0,0,0,0,0,0,0,0
"172","Tongass","Southeast Index Communities","Sitka_2013","Vegetation","Vegetation","Berries","Berries","Crowberry",601007000,"Crowberry",212,2965,592,7873.2,"Yes",4,"Gal.",0.002,0.002,0.002,0,0.002,0.5,3,0.5,8.394,0,0.00037726515,0.1,0.7,0,0.23399799,0.18829618,0.00046883206
"173","Tongass","Southeast Index Communities","Sitka_2013","Vegetation","Vegetation","Berries","Berries","Elderberry",601008000,"Elderberry",212,2965,592,7873.2,"Yes",4,"Gal.",0.012999999,0.012999999,0.012999999,0,0.006,152.3,908.4,152.3,2043.9,0.3,0.11537698,38.1,227.1,0.001,10.762419,8.660426,0.14338039
"174","Tongass","Southeast Index Communities","Sitka_2013","Vegetation","Vegetation","Berries","Berries","Gooseberry",601010000,"Gooseberry",212,2965,592,7873.2,"Yes",4,"Gal.",0.004,0.004,0.004,0,0.002,42,249.5,42,676.89355,0.1,0.031690273,10.5,62.4,0,9.827915,7.9084396,0.03938189
"175","Tongass","Southeast Index Communities","Sitka_2013","Vegetation","Vegetation","Berries","Berries","Currants",601012000,"Currants",212,2965,592,7873.2,"Yes",4,"Gal.",0.029000001,0.029000001,0.029000001,0,0.012,238,1569.1,238,2929.5098,0.5,0.19929676,59.5,392.3,0.001,8.6451645,6.9566903,0.24766853
"176","Tongass","Southeast Index Communities","Sitka_2013","Vegetation","Vegetation","Berries","Berries","Huckleberry",601014000,"Huckleberry",212,2965,592,7873.2,"Yes",4,"Gal.",0.55799997,0.537,0.537,0.109,0.22700001,1776.1,25037.9,8012.129,42063.67,8.4,3.180123,444,6259.5,0.018,7.0877147,5.7034235,3.9519782
"177","Tongass","Southeast Index Communities","Sitka_2013","Vegetation","Vegetation","Berries","Berries","Cloud Berry",601016000,"Cloud Berry",212,2965,592,7873.2,"Yes",4,"Gal.",0.019,0.019,0.019,0,0,11.3,86.5,11.3,184.245,0,0.01098717,2.8,21.6,0,0.73288435,0.58974576,0.013653891
"178","Tongass","Southeast Index Communities","Sitka_2013","Vegetation","Vegetation","Berries","Berries","Nagoonberry",601018000,"Nagoonberry",212,2965,592,7873.2,"Yes",4,"Gal.",0.024,0.009,0.009,0.015,0.002,8.5,58.4,8.5,146.40881,0,0.007412989,2.1,14.6,0,0.3848303,0.30966964,0.009212213
"179","Tongass","Southeast Index Communities","Sitka_2013","Vegetation","Vegetation","Berries","Berries","Raspberry",601020000,"Raspberry",212,2965,592,7873.2,"Yes",4,"Gal.",0.077,0.058000002,0.058000002,0.021,0.027999999,124,936.8,281.9768,1591.6232,0.3,0.1189917,31,234.2,0.001,1.9238634,1.5481164,0.14787245
"180","Tongass","Southeast Index Communities","Sitka_2013","Vegetation","Vegetation","Berries","Berries","Salmonberry",601022000,"Salmonberry",212,2965,592,7873.2,"Yes",4,"Gal.",0.625,0.576,0.574,0.176,0.18,2422,27209.7,17387,37032.4,9.2,3.455971,605.5,6802.4,0.02,6.8739405,5.531401,4.294778
"181","Tongass","Southeast Index Communities","Sitka_2013","Vegetation","Vegetation","Berries","Berries","Strawberry",601026000,"Strawberry",212,2965,592,7873.2,"Yes",4,"Gal.",0.055,0.055,0.055,0.015,0.021,93.3,1103.4,93.3,2510.2349,0.4,0.14014283,23.3,275.8,0.001,3.190267,2.5671806,0.17415722
"182","Tongass","Southeast Index Communities","Sitka_2013","Vegetation","Vegetation","Berries","Berries","Thimbleberry",601028000,"Thimbleberry",212,2965,592,7873.2,"Yes",4,"Gal.",0.035,0.027999999,0.027999999,0.0069999998,0.0069999998,4.3,41,6.1499977,75.850006,0,0.005205717,1.1,10.2,0,0.18348655,0.14765006,0.0064692083
"183","Tongass","Southeast Index Communities","Sitka_2013","Vegetation","Vegetation","Berries","Berries","Twisted Stalk Berry (Watermelon Berry)",601032000,"Twisted Stalk Berry (Watermelon Berry)",212,2965,592,7873.2,"Yes",4,"Gal.",0.025999999,0.025999999,0.025999999,0,0,2,39.4,2,86.9558,0,0.0050091324,0.5,9.9,0,0.23995537,0.19309004,0.0062249103
"184","Tongass","Southeast Index Communities","Sitka_2013","Vegetation","Vegetation","Berries","Berries","Other Wild Berry",601099000,"Other Wild Berry",212,2965,592,7873.2,"Yes",4,"Gal.",0.011,0.009,0.009,0.009,0.002,60.5,367.3,60.5,1008.6058,0.1,0.046648566,15.1,91.8,0,5.1216574,4.1213536,0.057970747
"185","Tongass","Index Communities Year 2 (Southeast AK)","Whale Pass_2012","Vegetation","Vegetation","Berries","Berries","Blueberry",601002000,"Blueberry",21,27,43,55.3,"Yes",4,"Gal.",0.47599998,0.47599998,0.47599998,0,0.048,32.5,43.9,32.5,59.1333,1.6,0.8,8.1,11,0.003,2.1,1.7,1
"186","Tongass","Index Communities Year 2 (Southeast AK)","Whale Pass_2012","Vegetation","Vegetation","Berries","Berries","High Bush Cranberry",601006000,"High Bush Cranberry",21,27,43,55.3,"Yes",4,"Gal.",0.19,0.19,0.19,0,0,8,10.8,8,16.8588,0.4,0.2,2,2.7,0.001,1.3,1,0.2
"187","Tongass","Index Communities Year 2 (Southeast AK)","Whale Pass_2012","Vegetation","Vegetation","Berries","Berries","Currants",601012000,"Currants",21,27,43,55.3,"Yes",4,"Gal.",0.048,0.048,0.048,0,0,4,5.1,4,10.1133,0.2,0.1,1,1.3,0,2.4,2,0.1
"188","Tongass","Index Communities Year 2 (Southeast AK)","Whale Pass_2012","Vegetation","Vegetation","Berries","Berries","Huckleberry",601014000,"Huckleberry",21,27,43,55.3,"Yes",4,"Gal.",0.286,0.286,0.286,0.048,0,14.3,19.2,14.3,30.4512,0.7,0.3,3.6,4.8,0.001,1.5,1.2,0.4
"189","Tongass","Index Communities Year 2 (Southeast AK)","Whale Pass_2012","Vegetation","Vegetation","Berries","Berries","Salmonberry",601022000,"Salmonberry",21,27,43,55.3,"Yes",4,"Gal.",0.095,0.095,0.095,0,0,5,6.4,5,11.5264,0.2,0.1,1.3,1.6,0,1.5,1.2,0.1
"190","Tongass","Index Communities Year 2 (Southeast AK)","Whale Pass_2012","Vegetation","Vegetation","Berries","Berries","Thimbleberry",601028000,"Thimbleberry",21,27,43,55.3,"Yes",4,"Gal.",0.048,0.048,0.048,0,0,4,5.1,4,10.1133,0.2,0.1,1,1.3,0,2.4,2,0.1
"191","Tongass","Saxman 1999/2000","Wrangell_2000","Vegetation","Vegetation","Berries","Berries","Blueberry",601002000,"Blueberry",98,747,257,1959,"Yes",1.5,"Quarts",0.5,0.5,0.5,0.051020406,0.12244898,738.75,5631.084,2531.362,8730.807,7.538265,2.8745136,492.5,3754.0562,0.01715617,7.1443853,5.7490273,3.5721936
"192","Tongass","Saxman 1999/2000","Wrangell_2000","Vegetation","Vegetation","Berries","Berries","Low Bush Cranberry",601004000,"Low Bush Cranberry",98,747,257,1959,"Yes",1.5,"Quarts",0.07142857,0.07142857,0.07142857,0.010204081,0.030612245,87,663.1531,87,1296.58,0.8877551,0.3385214,58,442.10205,0.0020204221,5.889585,4.7393,0.42068473
"193","Tongass","Saxman 1999/2000","Wrangell_2000","Vegetation","Vegetation","Berries","Berries","High Bush Cranberry",601006000,"High Bush Cranberry",98,747,257,1959,"Yes",1.5,"Quarts",0.08163265,0.08163265,0.08163265,0.020408163,0.051020406,147,1120.5,188.9193,2052.0808,1.5,0.5719844,98,747,0.0034138167,8.707446,7.006809,0.7108121
"194","Tongass","Saxman 1999/2000","Wrangell_2000","Vegetation","Vegetation","Berries","Berries","Elderberry",601008000,"Elderberry",98,747,257,1959,"Yes",1.5,"Quarts",0.020408163,0.020408163,0.020408163,0,0.010204081,25.5,194.37245,25.5,533.2403,0.26020408,0.09922179,17,129.58163,0.0005921927,6.0419016,4.861868,0.12330414
"195","Tongass","Saxman 1999/2000","Wrangell_2000","Vegetation","Vegetation","Berries","Berries","Gooseberry",601010000,"Gooseberry",98,747,257,1959,"Yes",1.5,"Quarts",0.020408163,0.020408163,0.020408163,0.010204081,0.010204081,13.5,102.90306,13.5,244.20581,0.1377551,0.052529182,9,68.60204,0.0003135138,3.1986537,2.57393,0.065278664
"196","Tongass","Saxman 1999/2000","Wrangell_2000","Vegetation","Vegetation","Berries","Berries","Currants",601012000,"Currants",98,747,257,1959,"Yes",1,"Quarts",0.030612245,0.030612245,0.030612245,0.010204081,0.030612245,14,106.71429,14,221.86075,0.14285715,0.054474708,14,106.71429,0.0003251254,2.2114148,1.779507,0.06769639
"197","Tongass","Saxman 1999/2000","Wrangell_2000","Vegetation","Vegetation","Berries","Berries","Huckleberry",601014000,"Huckleberry",98,747,257,1959,"Yes",1.5,"Quarts",0.22448981,0.22448981,0.22448981,0.010204081,0.040816326,340.125,2592.5854,603.6752,4581.4956,3.4706633,1.3234435,226.75,1728.3903,0.007898806,7.3262086,5.895339,1.6446596
"198","Tongass","Saxman 1999/2000","Wrangell_2000","Vegetation","Vegetation","Berries","Berries","Cloud Berry",601016000,"Cloud Berry",98,747,257,1959,"Yes",1,"Quarts",0.020408163,0.020408163,0.020408163,0,0.010204081,9,68.60204,9,182.144,0.091836736,0.035019454,9,68.60204,0.00020900919,2.1324358,1.7159532,0.04351911
"199","Tongass","Saxman 1999/2000","Wrangell_2000","Vegetation","Vegetation","Berries","Berries","Nagoonberry",601018000,"Nagoonberry",98,747,257,1959,"Yes",1,"Quarts",0.010204081,0.010204081,0.010204081,0,0,1,7.622449,1,21.7235,0.010204081,0.0038910506,1,7.622449,2.3223243e-05,4.9341394e-05,3.97046e-05,0.0048354566
"200","Tongass","Saxman 1999/2000","Wrangell_2000","Vegetation","Vegetation","Berries","Berries","Raspberry",601020000,"Raspberry",98,747,257,1959,"Yes",1.5,"Quarts",0.18367347,0.1632653,0.1632653,0.06122449,0.07142857,211.5,1612.148,377.92572,2846.37,2.1581633,0.8229572,141,1074.7653,0.004911716,5.568027,4.480545,1.022699
"201","Tongass","Saxman 1999/2000","Wrangell_2000","Vegetation","Vegetation","Berries","Berries","Salmonberry",601022000,"Salmonberry",98,747,257,1959,"Yes",1.5,"Quarts",0.30612245,0.30612245,0.30612245,0.010204081,0.040816326,185.25,1412.0587,707.6984,2116.419,1.8903061,0.72081715,123.5,941.37244,0.004302106,2.9261758,2.3546693,0.89576834
"202","Tongass","Saxman 1999/2000","Wrangell_2000","Vegetation","Vegetation","Berries","Berries","Soapberry",601024000,"Soapberry",98,747,257,1959,"Yes",1.5,"Quarts",0.010204081,0.010204081,0.010204081,0,0,1.5,11.433674,1.5,32.585247,0.015306123,0.0058365758,1,7.622449,3.4834866e-05,7.401209e-05,5.9556896e-05,0.007253185
"203","Tongass","Saxman 1999/2000","Wrangell_2000","Vegetation","Vegetation","Berries","Berries","Strawberry",601026000,"Strawberry",98,747,257,1959,"Yes",1.5,"Quarts",0.112244904,0.112244904,0.112244904,0.010204081,0.020408163,84.75,646.00256,84.75,1277.286,0.8647959,0.32976654,56.5,430.66837,0.0019681698,3.6509883,2.9379199,0.40980494
"204","Tongass","Saxman 1999/2000","Wrangell_2000","Vegetation","Vegetation","Berries","Berries","Thimbleberry",601028000,"Thimbleberry",98,747,257,1959,"Yes",1.25,"Quarts",0.091836736,0.091836736,0.091836736,0,0,15.625,119.10077,28.491821,209.70972,0.15943877,0.060797665,12.5,95.28061,0.00036286318,0.0069386335,0.005583459,0.075554006
"205","Tongass","Saxman 1999/2000","Wrangell_2000","Vegetation","Vegetation","Berries","Berries","Other Wild Berry",601099000,"Other Wild Berry",98,747,257,1959,"Yes",1.5,"Quarts",0.020408163,0.020408163,0.020408163,0,0,3,22.867348,3,52.625603,0.030612245,0.0116731515,2,15.244898,6.966973e-05,0.00029604835,0.00023822759,0.01450637
